(Product),(Customer),(Purchase Date),Cost Amount,Profit After Tax,Profit Before Tax,Discounted Sales,Undiscounted Sales
Wilson Jones Active Use Binders,Jas O_Carroll,2/14/2001,194.9,-27.43,-27.43,167.47,194.265
Xerox 1884,Jas O_Carroll,2/14/2001,406.07,120.632,150.79,556.86,623.683
Zoom V.92 USB External Faxmodem,Jas O_Carroll,2/14/2001,1781.38,260.088,325.11,2106.49,2527.79
Belkin F5C206VTEL 6 Outlet Surge,Elizabeth Moffitt,2/14/2001,171.39,45.768,57.21,228.6,258.318
Holmes HEPA Air Purifier,Elizabeth Moffitt,2/14/2001,302.94,46.68,58.35,361.29,408.258
Lexmark Z65 Color Inkjet Printer,Laura Armstrong,2/14/2001,2937.56,1056.02,1320.02,4257.58,4981.37
Xerox 198,Jas O_Carroll,2/15/2001,357.78,-184.28,-184.28,173.5,192.585
Canon PC-428 Personal Copier,Elizabeth Moffitt,2/15/2001,3261.59,1789.75,2237.19,5498.78,6213.62
GBC Plastic Binding Combs,Elizabeth Moffitt,2/15/2001,510,-233.77,-233.77,276.23,331.476
Global Value Steno Chair  Gray,Patrick O_Brill,2/15/2001,2126.21,-288.59,-288.59,1837.62,2039.76
Epson FX-880+ Dot Matrix Printer,Hallie Redmond,2/16/2001,4473.08,2118.42,2648.02,7121.1,7975.63
Maxell 4.7GB DVD-RW 3/Pack,Sheri Gordon,2/16/2001,318.56,167.68,209.6,528.16,559.85
Portfile Personal File Boxes,Laura Armstrong,2/16/2001,955.82,-82.73,-82.73,873.09,995.323
Global Leather Executive Chair,Hilary Holden,2/17/2001,8585.65,3822.1,4777.63,13363.3,15234.1
Siemens Accessory34,Jasper Cacioppo,2/17/2001,579.41,363.904,454.88,1034.29,1251.49
OIC #2 Pencils  Medium Soft,Laura Armstrong,2/17/2001,30.04,1.08,1.35,31.39,33.901
Avery 488,Jasper Cacioppo,2/18/2001,13.32,7.84,9.8,23.12,25.663
3M Hangers With Command Adhesive,Tonja Turnell,2/18/2001,139.23,15.376,19.22,158.45,174.295
Xerox 1906,Sheri Gordon,2/18/2001,461.28,240.264,300.33,761.61,883.468
Xerox 198,Sheri Gordon,2/18/2001,10.22,2.312,2.89,13.11,14.552
Letter Size Cart,Jasper Cacioppo,2/19/2001,2999.75,903.576,1129.47,4129.22,4376.97
Nokia 2190,Speros Goranitis,2/19/2001,1490.45,648.04,810.05,2300.5,2737.59
Nokia 3285,Speros Goranitis,2/19/2001,4208.3,2335.79,2919.74,7128.04,7484.44
VariCap6(TM) Expandable Binder,Jim Sink,2/19/2001,181.72,123.92,154.9,336.62,407.31
Siemens Accessory27,Hallie Redmond,2/20/2001,1423.66,-47.73,-47.73,1375.93,1554.8
Satellite Sectional Post Binders,Heather Jas-Hannaway,2/20/2001,836.64,701.752,877.19,1713.83,1970.9
Safco Contoured Stacking Chairs,Jennifer Patt,2/20/2001,3685.66,1224.1,1530.13,5215.79,6206.79
Newell 332,David Flashing,2/20/2001,49.59,3.08,3.85,53.44,64.662
Avery 477,Karen Seio,2/21/2001,309.52,308.896,386.12,695.64,793.03
Staples Plastic Wall Frames,Karen Seio,2/21/2001,180.7,-21.64,-21.64,159.06,168.604
Nokia SC-3160,Sharelle Roach-McGee,2/21/2001,1485.65,502.688,628.36,2114.01,2409.97
Luxo Economy Swing Arm Lamp,Debra Catini-Entman,2/21/2001,472.24,-101.49,-101.49,370.75,396.702
Advantus Push Pins,David Flashing,2/21/2001,51.46,0.96,1.2,52.66,64.245
Xerox 197,David Flashing,2/21/2001,1031.52,-19.05,-19.05,1012.47,1214.96
Avery 488,Herbert Flentye,2/21/2001,66.62,54.96,68.7,135.32,150.205
Staples 6 Outlet Surge,Hallie Redmond,2/22/2001,190.76,-15.56,-15.56,175.2,211.992
3M Hangers With Command Adhesive,Karen Seio,2/22/2001,126.28,13.224,16.53,142.81,157.091
Newell 325,Sharelle Roach-McGee,2/22/2001,31.51,2.24,2.8,34.31,41.515
Siemens Accessory6,David Wiener,2/22/2001,1095.42,70.52,88.15,1183.57,1408.45
Novimex Swivel Fabric Task Chair,Elizabeth Moffitt,2/22/2001,4535.21,287.976,359.97,4895.18,5629.46
Economy #2 Pencils,David Flashing,2/22/2001,104.76,-38.67,-38.67,66.09,71.377
Nokia 5165,Herbert Flentye,2/22/2001,2938.25,1374.76,1718.45,4656.7,5774.31
Xerox 1893,Jim Sink,2/22/2001,1579.58,292.056,365.07,1944.65,2197.45
Xerox 190,Iggy Osterman,2/23/2001,209.32,-51.44,-51.44,157.88,172.089
Siemens Accessory18,Michael Oakman,2/23/2001,990.63,51.584,64.48,1055.11,1245.03
Nokia R300LX,Jasper Cacioppo,2/23/2001,587.42,118.288,147.86,735.28,874.983
Siemens Accessory28,Sharelle Roach-McGee,2/23/2001,1909.9,46.28,57.85,1967.75,2400.66
American Pencil,Steven Roelle,2/23/2001,28.02,1.208,1.51,29.53,31.007
Micro Innovations 104 Keyboard,Meg O_Connel,2/23/2001,81.12,-12.85,-12.85,68.27,83.289
Newell 325,Meg O_Connel,2/23/2001,133.06,26.288,32.86,165.92,200.763
Brown Kraft Recycled Envelopes,Michael Oakman,2/24/2001,513.32,-12.56,-12.56,500.76,595.904
Nokia 5165,Michael Oakman,2/24/2001,544.12,235.088,293.86,837.98,1039.1
3M Organizer Strips,Maxwell Schwartz,2/24/2001,420.45,-181.96,-181.96,238.49,276.648
DIXON Oriole Pencils,Lena Cacioppo,2/25/2001,121.35,-8.17,-8.17,113.18,133.552
Siemens Accessory38,Herbert Flentye,2/25/2001,1396.15,188.04,235.05,1631.2,2006.38
Acme Serrated Blade Letter Opener,Hilary Holden,2/26/2001,165.28,-58.42,-58.42,106.86,120.752
Xerox 204,Hilary Holden,2/26/2001,212.92,-53.14,-53.14,159.78,186.943
Avery 49,Peter McVee,2/26/2001,18.44,12.44,15.55,33.99,42.488
TDK 4.7GB DVD+R,Peter McVee,2/26/2001,302.91,129.48,161.85,464.76,501.941
Clear Mylar(TM) Reinforcing Strips,Jane Waco,2/27/2001,16.66,8.376,10.47,27.13,31.742
Nokia 8290,Noel Staavos,2/28/2001,2436.72,849.416,1061.77,3498.49,4023.26
Global Task Chair  Black,Harold Pawlan,2/28/2001,2165.08,-656.75,-656.75,1508.33,1659.16
Xerox 220,Lena Cacioppo,2/28/2001,365.84,-112.07,-112.07,253.77,296.911
Nokia LX 677,Jane Waco,2/28/2001,433.53,201.216,251.52,685.05,719.303
Logitech Access Keyboard,Sharelle Roach-McGee,3/1/2001,178.43,71.4,89.25,267.68,315.862
Xerox 1929,Lena Cacioppo,3/1/2001,603.86,250.648,313.31,917.17,1128.12
Newell 350,Thomas Seio,3/1/2001,54.51,-26.08,-26.08,28.43,33.263
Talkabout T8097,Hallie Redmond,3/2/2001,385.39,181.248,226.56,611.95,685.384
G.E. Halogen Desk Lamp Bulbs,Lela Donovan,3/2/2001,167.79,32.552,40.69,208.48,254.346
GBC Prestige Therm-A-Bind Covers,Steven Roelle,3/2/2001,198.17,21.336,26.67,224.84,278.802
Logitech Elite Keyboard,Steven Roelle,3/2/2001,323.28,35.56,44.45,367.73,397.148
StarTAC ST7762,MaryBeth Skach,3/2/2001,1677.78,809.336,1011.67,2689.45,2850.82
Nokia T18,Thomas Seio,3/2/2001,1183.76,529.784,662.23,1845.99,2196.73
Nokia T2297,Thomas Seio,3/2/2001,1307.41,539.816,674.77,1982.18,2457.9
Xerox 1909,Hallie Redmond,3/3/2001,277.89,150.128,187.66,465.55,507.45
Aluminum Document Frame,Deanra Eno,3/3/2001,143.56,17.944,22.43,165.99,200.848
Avery 508,Lela Donovan,3/3/2001,74.83,77.448,96.81,171.64,200.819
Xerox 1908,Lela Donovan,3/3/2001,25.01,20.584,25.73,50.74,62.918
Akro-Mils 12-Gallon Tote,Jas O_Carroll,3/3/2001,447.39,-122.77,-122.77,324.62,353.836
StarTAC 3000,Noel Staavos,3/3/2001,902.27,430.688,538.36,1440.63,1642.32
Master Big Foot Doorstop  Beige,Seth Vernon,3/3/2001,224.77,-55.53,-55.53,169.24,194.626
Xerox 1929,MaryBeth Skach,3/3/2001,546.35,234.688,293.36,839.71,1032.84
Newell 347,Thomas Seio,3/3/2001,138.53,-9.58,-9.58,128.95,157.319
Avery 473,Deanra Eno,3/4/2001,34.64,32.424,40.53,75.17,81.935
Avery 510,Jas O_Carroll,3/4/2001,7.55,5.024,6.28,13.83,16.734
Lumber Crayons,Noel Staavos,3/4/2001,207.89,4.488,5.61,213.5,234.85
Newell 335,Noel Staavos,3/4/2001,92.51,26.088,32.61,125.12,150.144
Sharp 1540cs Digital Laser Copier,Noel Staavos,3/4/2001,10369.5,7412.12,9265.15,19634.6,24150.6
Staples 4 Outlet Surge Protector,Noel Staavos,3/4/2001,170.57,7.84,9.8,180.37,194.8
Xerox 214,Michael Moore,3/4/2001,386.53,-135.08,-135.08,251.45,266.537
Seth Thomas 8 1/2Inch Cubicle Clock,Seth Vernon,3/4/2001,139.43,21,26.25,165.68,202.13
Epson C82 Color Inkjet Printer,Herbert Flentye,3/4/2001,400.37,395.504,494.38,894.75,948.435
Green Bar Computer Printout Paper,Jesus Ocampo,3/5/2001,125.46,77.736,97.17,222.63,267.156
Xerox 1942,Jesus Ocampo,3/5/2001,668.14,149.288,186.61,854.75,957.32
Maxell 4.7GB DVD+R 5/Pack,Deanra Eno,3/5/2001,84.9,-48.38,-48.38,36.52,44.554
TDK 4.7GB DVD-R,Deanra Eno,3/5/2001,512.57,357.496,446.87,959.44,1170.52
Newell 34,Nathan Mautz,3/5/2001,253.58,19.856,24.82,278.4,334.08
Xerox 1911,Nathan Mautz,3/5/2001,722.66,607.888,759.86,1482.52,1704.9
Xerox 1980,Nathan Mautz,3/5/2001,126.27,-58.53,-58.53,67.74,83.998
Holmes HEPA Air Purifier,Jesus Ocampo,3/6/2001,134.64,35.536,44.42,179.06,202.338
Staples Paper Clips,Roy Skaria,3/6/2001,52.88,12.88,16.1,68.98,77.258
Polycom VoiceStation 100,Robert Marley,3/6/2001,2627.44,2844.71,3555.89,6183.33,6925.33
SAFCO Arco Folding Chair,Tracy Zic,3/6/2001,5374.86,2095.7,2619.63,7994.49,8873.88
Microsoft Internet Keyboard,Roy Skaria,3/7/2001,434.28,-51.9,-51.9,382.38,451.208
3M Office Air Cleaner,Elizabeth Moffitt,3/7/2001,128.52,64.848,81.06,209.58,238.921
Xerox 214,Maxwell Schwartz,3/7/2001,131.99,-36.37,-36.37,95.62,101.357
Xerox 1930,Laura Armstrong,3/7/2001,301.71,-94.78,-94.78,206.93,256.593
Xerox 1998,Laura Armstrong,3/7/2001,369.79,-61.92,-61.92,307.87,326.342
Crayola Anti Dust Chalk  12/Pack,Pierre Wener,3/8/2001,17.28,1.792,2.24,19.52,24.01
DAX Cubicle Frames - 8x10,Roy Skaria,3/8/2001,391.02,-132.23,-132.23,258.79,295.021
Acco Expandable Hanging Binders,Elizabeth Moffitt,3/8/2001,159.02,-6.9,-6.9,152.12,184.065
Xerox 21,Elizabeth Moffitt,3/8/2001,215.94,-61.81,-61.81,154.13,181.873
Xerox 1948,Tracy Zic,3/8/2001,182.32,12.168,15.21,197.53,227.16
BIC Brite Liner Highlighters,Meg O_Connel,3/8/2001,27.65,2.56,3.2,30.85,34.552
Avery File Folder Labels,Ellis Ballard,3/8/2001,89.14,-46.13,-46.13,43.01,50.322
Nokia 6190,Ellis Ballard,3/8/2001,1745.75,967.272,1209.09,2954.84,3279.87
Avery Non-Stick Binders,Meg Tillman-Sachs,3/8/2001,206.34,-67.86,-67.86,138.48,153.713
Longer-Life Soft White Bulbs,Meg Tillman-Sachs,3/8/2001,117.35,-35.36,-35.36,81.99,93.469
Crayola Colored Pencils,Roy Skaria,3/9/2001,21.48,3.712,4.64,26.12,31.344
Xerox 1995,Nona Balk,3/9/2001,197.28,-25.74,-25.74,171.54,188.694
Xerox 1950,Maxwell Schwartz,3/9/2001,305.48,-70.67,-70.67,234.81,286.468
Xerox 1943,Laura Armstrong,3/9/2001,1306.68,342.52,428.15,1734.83,1925.66
Rogers Deluxe File Chest,Nona Balk,3/10/2001,187.71,-11,-11,176.71,204.984
Belkin MediaBoard 104- Keyboard,Laura Armstrong,3/10/2001,319.93,23.328,29.16,349.09,425.89
Xerox 1896,Meg O_Connel,3/10/2001,228.18,20.76,25.95,254.13,299.873
Nokia 5120,Ellis Ballard,3/10/2001,153.03,68.728,85.91,238.94,265.223
Airmail Envelopes,Nona Balk,3/11/2001,1660.27,729.816,912.27,2572.54,2778.34
Advantus Plastic Paper Clips,Quincy Jones,3/11/2001,52.4,0.776,0.97,53.37,57.64
Xerox 1978,Quincy Jones,3/11/2001,147.27,-32.32,-32.32,114.95,136.791
Staples 6 Outlet Surge,Lena Cacioppo,3/11/2001,154.99,11.096,13.87,168.86,204.321
Hon Metal Bookcases  Black,Nathan Mautz,3/11/2001,2842.45,-84.8,-84.8,2757.65,3143.72
Hewlett-Packard 4.7GB DVD+R Discs,Heather Jas-Hannaway,3/12/2001,129.25,36.312,45.39,174.64,213.061
Global Ergonomic Managers Chair,Nathan Mautz,3/12/2001,5452.11,1365.1,1706.37,7158.48,8160.67
Ibico 099 Scientific Calculator,Meg Tillman-Sachs,3/12/2001,319.96,155.992,194.99,514.95,623.09
Binder Clips by OIC,Iggy Osterman,3/13/2001,33.69,6.856,8.57,42.26,50.289
Nokia T18,Iggy Osterman,3/13/2001,854.94,515.128,643.91,1498.85,1783.63
Xerox 1995,Lena Cacioppo,3/13/2001,7.59,3.24,4.05,11.64,12.804
StarTAC Series,Meg O_Connel,3/13/2001,723.5,351.024,438.78,1162.28,1336.62
Safco Drafting Table,Deanra Eno,3/14/2001,1595.98,-468.44,-468.44,1127.54,1307.95
Avery 473,Iggy Osterman,3/14/2001,177.51,183.72,229.65,407.16,443.804
Acco Banker_s Clasps  5 3/4Inch-Long,Suzanne McNair,3/14/2001,109.38,1.984,2.48,111.86,127.52
Xerox 1882,Suzanne McNair,3/14/2001,68.07,40.776,50.97,119.04,130.944
Xerox 1952,Lena Cacioppo,3/14/2001,199.32,-65.03,-65.03,134.29,141.004
Logitech Cordless Access Duo,Patrick O_Brill,3/14/2001,1524.74,929.448,1161.81,2686.55,3170.13
Xerox 1955,Patrick O_Brill,3/14/2001,248.16,90.776,113.47,361.63,408.642
Eldon File Chest(TM) Portable File,Ellis Ballard,3/14/2001,644.92,91.472,114.34,759.26,911.112
Prang Drawing Pencil Set,Ellis Ballard,3/14/2001,140.62,-0.77,-0.77,139.85,170.617
Hon Olson Stacker Chairs,Meg Tillman-Sachs,3/14/2001,3273.64,1384.71,1730.89,5004.53,6005.44
Xerox 1997,Meg Tillman-Sachs,3/14/2001,124.48,-52.14,-52.14,72.34,86.808
Keytronic French Keyboard,Nona Balk,3/15/2001,1189.53,135.912,169.89,1359.42,1536.14
Ultra Door Pull Handle,Nona Balk,3/15/2001,375.49,-55.52,-55.52,319.97,355.167
Acco Hanging Data Binders,Patrick O_Brill,3/15/2001,6.97,1.856,2.32,9.29,10.033
Xerox 1950,Patrick O_Brill,3/15/2001,357.64,-66.78,-66.78,290.86,354.849
Eldon Wave Desk Accessories,Jane Waco,3/15/2001,130.71,-83.09,-83.09,47.62,57.62
Nokia 5185,Jane Waco,3/15/2001,915.17,466.504,583.13,1498.3,1753.01
Bevis 44 x 96 Conference Tables,Meg Tillman-Sachs,3/15/2001,7109.84,677.496,846.87,7956.71,9627.62
BIC Brite Liner Highlighters,Hallie Redmond,3/16/2001,86.9,9.448,11.81,98.71,110.555
Avery Legal 4-Ring Binder,Mary O_Rourke,3/16/2001,432.82,479.776,599.72,1032.54,1218.4
Contemporary Wood/Metal Frame,Laura Armstrong,3/16/2001,379.68,-23.39,-23.39,356.29,431.111
Safco Industrial Wire Shelving,Speros Goranitis,3/16/2001,5117.03,-515.23,-515.23,4601.8,4831.89
